Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1947,-.04,-.03,.29,.23,.07,.00,-.03,-.04,-.01,.40,.19,-.05,.08,.05,-.18,.19,-.02,.19
1948,.30,-.15,-.27,-.03,.17,.04,.01,.02,-.03,.08,.03,-.39,-.02,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.07,-.19,-.20,-.09,-.06,-.34,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.07,.17,-.02,.08,.22,.34,.28,.08,.38,.05,.00,-.33,.02,.09,.23
1952,.17,.17,-.22,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.23,.37,.26,.41,.25,.25,.22,.18,.17,.27,.09,.23,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.01,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.31,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.27,-.22,-.29
1957,-.13,-.06,-.10,-.09,-.05,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.17,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.13,.13,.19,.20,.09,.04
1960,.16,.42,-.40,-.13,.03,.18,.09,.11,.12,.05,-.08,.40,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.04,-.03,-.04,.08,-.17,.08,.13,.29,.14,.09,.00
1962,.27,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.08,.50,-.11,.04,-.05,-.04,.10,.14,.13,.42,.43,.03,.14,.15,.22,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.07,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.02,.30,.04,.03,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.04,-.08,-.08,-.05,-.01,-.22,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.28,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.19,-.03,-.03,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.01,-.12,-.15,-.10,-.05,-.09,-.26,-.04,-.20,-.05,-.18,-.18,-.40,-.09,-.08,-.17
1973,.15,.44,.31,.19,.09,.16,.04,.03,-.09,-.08,-.10,-.04,.09,.09,.18,.20,.08,-.09
1974,-.26,-.35,.03,-.10,-.19,-.18,-.13,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.22,-.09,-.14,-.20
1975,.16,.09,.10,.05,-.02,-.08,-.06,-.13,-.08,-.18,-.30,-.22,-.06,-.06,-.01,.04,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.26,-.21,-.12,-.51,-.32,-.26,-.21,-.21,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.13,-.02,.27,.02,.12,.10,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.07,-.14,-.01,.00,.16,.02,.02,.02,.07,.07,-.12,.05
1979,-.05,-.36,.18,-.17,.01,.07,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.40,.07,.15,.25,.18,.13,.09,.10,.12,.20,.08,.17,.20,.38,.16,.14,.14
1981,.79,.62,.67,.39,.18,.27,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.17,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.05,.07,.19,.10,-.01,-.02
1983,.55,.35,.42,.06,.05,.10,.20,.25,.25,.12,.49,.11,.25,.27,.42,.18,.18,.29
1984,.33,.02,.18,-.07,.23,.09,.08,.05,-.04,.08,-.10,-.42,.04,.08,.15,.11,.08,-.02
1985,.07,-.30,.00,-.04,.09,.00,-.08,-.02,.02,.02,.02,.16,.00,-.05,-.21,.02,-.03,.02
1986,.36,.31,.26,.15,.19,.14,-.02,.04,-.02,.09,.03,.06,.13,.14,.28,.20,.05,.03
1987,.25,.50,.00,.07,.23,.16,.25,.27,.39,.22,.10,.50,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.05,.42,.37,.38,.52,.45,.36,.18
1989,.08,.39,.45,.32,.22,.24,.31,.25,.23,.25,.11,.33,.27,.27,.30,.33,.27,.19
1990,.47,.54,1.16,.71,.50,.48,.33,.41,.42,.48,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.57,.46,.56,.33,.47,.43,.35,.35,.29,.32,.20,.41,.43,.51,.45,.42,.32
1992,.60,.49,.54,.16,.19,.04,-.10,-.07,-.18,-.18,-.09,.21,.13,.13,.43,.29,-.04,-.15
1993,.38,.52,.38,.23,.32,.22,.12,.02,-.07,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.34,-.05,.49,.48,.39,.41,.33,.32,.33,.54,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.41,.50,.37,.54,.43,.60,.57,.27,.58,.59,.77,.57,.47,.53
1996,.27,.54,.32,.17,.35,.25,.29,.18,.04,.04,.35,.35,.26,.26,.36,.28,.24,.14
1997,.34,.60,.74,.49,.42,.49,.41,.48,.51,.63,.59,.51,.52,.50,.43,.55,.46,.58
1998,.62,1.04,.72,.87,.66,.73,.74,.72,.61,.53,.49,.73,.71,.69,.72,.75,.73,.54
1999,.59,1.00,.29,.53,.36,.34,.35,.30,.40,.39,.53,.66,.48,.49,.77,.39,.33,.44
2000,.38,.89,.83,.88,.54,.44,.41,.47,.36,.29,.19,.27,.50,.53,.64,.75,.44,.28
2001,.56,.45,.76,.59,.69,.51,.63,.68,.56,.60,.97,.65,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.11,.51,.52,.68,.66,.55,.62,.54,.79,.43,.71,.73,.94,.71,.63,.65
2003,.93,.57,.66,.61,.71,.54,.68,.86,.78,.98,.66,.98,.75,.70,.64,.66,.69,.81
2004,.66,.91,.86,.70,.52,.47,.49,.55,.59,.70,.98,.45,.66,.70,.85,.69,.50,.76
2005,.95,.72,.95,.93,.77,.78,.74,.69,.90,.95,1.05,.83,.85,.82,.70,.88,.74,.97
2006,.64,.95,.78,.59,.76,.81,.69,.69,.82,.96,.95,1.15,.82,.79,.81,.71,.73,.91
2007,1.45,.90,.93,1.07,.71,.65,.64,.73,.67,.83,.81,.77,.85,.88,1.17,.90,.67,.77
2008,.33,.59,1.14,.65,.61,.61,.60,.58,.57,.85,.96,.65,.68,.69,.56,.80,.60,.80
2009,.82,.70,.58,.71,.65,.67,.68,.72,.85,.79,.84,.67,.72,.72,.72,.65,.69,.82
2010,.80,.95,1.10,1.14,.94,.84,.89,.86,.70,.89,1.20,.51,.90,.91,.81,1.06,.86,.93
2011,.62,.55,.89,.83,.65,.76,.71,.71,.73,.90,.65,.87,.74,.71,.56,.79,.73,.76
2012,.65,.57,.69,1.06,.96,.94,.85,.76,.86,.91,.97,.45,.80,.84,.70,.90,.85,.91
2013,.85,.78,.82,.67,.77,.78,.69,.74,.70,.83,1.13,.84,.80,.77,.69,.75,.73,.89
2014,.98,.71,1.20,1.09,.90,.81,.76,.91,.84,.93,.81,1.10,.92,.90,.85,1.06,.83,.86
2015,1.19,1.20,1.32,1.02,1.05,1.06,.92,1.01,1.17,1.29,1.37,1.54,1.18,1.14,1.16,1.13,1.00,1.28
2016,1.55,1.93,1.89,1.47,1.11,1.13,1.04,1.12,1.22,1.03,1.11,1.04,1.30,1.35,1.67,1.49,1.10,1.12
2017,1.38,1.51,1.51,1.19,.93,.93,.98,1.02,1.00,1.04,1.22,1.37,1.17,1.14,1.31,1.21,.98,1.09
2018,1.13,1.23,1.18,.97,1.01,.86,.93,.90,.98,1.23,.98,1.10,1.04,1.06,1.24,1.05,.90,1.06
2019,1.20,1.13,1.55,1.25,1.02,1.20,1.03,1.11,1.22,1.28,1.19,1.41,1.22,1.19,1.14,1.27,1.11,1.23
2020,1.59,1.69,1.67,1.39,1.26,1.14,1.10,1.12,1.20,1.21,1.58,1.19,1.35,1.36,1.56,1.44,1.12,1.33
2021,1.25,.95,1.20,1.13,1.05,1.21,1.08,1.03,1.05,1.30,1.29,1.17,1.14,1.14,1.13,1.13,1.11,1.21
2022,1.24,1.16,1.41,1.09,1.02,1.13,1.07,1.17,1.15,1.31,1.10,1.06,1.16,1.17,1.19,1.17,1.12,1.19
2023,1.30,1.29,1.64,1.02,1.13,1.20,1.45,1.57,1.67,1.88,1.98,1.85,1.50,1.43,1.21,1.26,1.41,1.84
2024,1.68,1.92,1.77,1.79,1.45,1.54,1.42,1.43,1.58,1.73,1.89,1.71,1.66,1.67,1.82,1.67,1.47,1.73
2025,1.83,1.63,1.83,1.58,1.20,***,***,***,***,***,***,***,***,***,1.72,1.54,***,***
